Info,,Export,,,,Import,,,,Production,,,,Estimated consumption,,,,"Total raw materials, consumption",,,"Total energy, consumption",,,"co2, consumption",,
Unit,,[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.","[Mt], average","[Mt], min.","[Mt], max.","[PJ], average","[PJ], min.","[PJ], max.","[kt], average","[kt], min.","[kt], max."
Nbr of countries,year,,,,,,,,,,,,,,,,,,,,,,,,,
15,1998,2,38,46,31,0,11,14,9,84,2042,2496,1621,84,2042,2496,1621,2,2,3,22,18,27,1684,1336,2058
15,1999,2,39,47,31,0,12,14,9,83,2013,2454,1599,83,2013,2454,1599,2,2,3,22,17,26,1597,1269,1947
15,2000,2,40,48,32,0,12,14,9,86,2108,2565,1677,86,2108,2565,1677,2,2,3,22,18,27,1618,1286,1968
15,2001,2,41,49,32,0,12,14,10,93,2279,2767,1815,93,2279,2767,1815,3,2,3,24,19,29,1689,1345,2050
15,2002,2,41,50,33,0,12,15,10,99,2428,2940,1935,99,2428,2940,1935,3,2,3,25,20,30,1749,1393,2117
15,2003,2,42,51,34,1,12,15,10,95,2358,2849,1881,95,2358,2849,1881,3,2,3,24,19,28,1649,1315,1992
27,2003,2,43,52,34,1,13,15,10,113,2808,3385,2242,112,2778,3349,2218,3,3,4,28,22,33,1943,1551,2342
27,2004,2,38,46,31,1,16,19,13,117,2926,3519,2339,117,2905,3493,2322,3,3,4,28,23,34,2008,1605,2414
27,2005,1,33,40,27,1,20,24,16,122,3044,3653,2435,121,3031,3638,2425,3,3,4,29,23,35,2072,1658,2487
27,2006,3,66,79,54,1,20,24,16,142,3576,4261,2891,140,3530,4206,2854,4,3,5,33,27,40,2395,1936,2854
27,2007,3,80,94,65,1,20,24,17,148,3753,4440,3066,146,3693,4370,3017,4,3,5,34,28,41,2486,2031,2942
27,2008,2,62,73,51,1,19,22,15,136,3473,4080,2866,134,3430,4029,2830,4,3,4,32,26,37,2291,1891,2692
27,2009,2,48,56,40,1,16,19,13,118,3034,3540,2529,117,3002,3503,2502,3,3,4,27,23,32,1974,1645,2303
27,2010,2,52,61,44,1,15,17,13,120,3107,3600,2614,119,3070,3557,2583,3,3,4,28,24,32,1986,1671,2301
27,2011,2,65,74,55,1,16,19,14,120,3129,3600,2657,118,3080,3544,2616,3,3,4,28,24,32,1929,1638,2220
28,2012,3,68,77,58,1,19,22,16,113,2964,3387,2540,111,2915,3332,2499,3,3,4,27,23,30,1826,1565,2086
28,2013,2,65,74,57,1,19,22,17,105,2775,3150,2400,103,2729,3098,2360,3,3,3,25,21,28,1737,1503,1972
28,2014,3,70,79,61,1,30,34,27,110,2939,3314,2564,109,2900,3269,2530,3,3,4,26,23,30,1816,1584,2047
28,2015,3,76,85,67,1,23,26,21,116,3107,3480,2734,114,3055,3421,2688,3,3,4,28,24,31,1881,1655,2107
28,2016,3,79,88,70,1,27,30,24,114,3074,3420,2728,112,3022,3362,2681,3,3,4,27,24,31,1829,1623,2035
28,2017,3,92,102,83,2,57,64,51,122,3301,3648,2953,120,3266,3609,2922,4,3,4,30,27,33,1943,1738,2147
28,2018,3,87,96,79,1,28,31,25,117,3197,3510,2883,115,3137,3445,2830,3,3,4,29,26,31,1867,1684,2050
28,2019,3,94,102,85,2,64,70,58,121,3329,3632,3027,120,3299,3599,2999,4,3,4,30,27,33,1963,1784,2141
